model,acc,f1,P,neg,L
GCN_GAE,0.895,0.9445910290237467,0.15,,
CCRNE,0.855,0.921832884097035,0.16,200.0,
MCLS,0.915,0.9556135770234987,0.16,200.0,
LP_PUL,0.925,0.961038961038961,0.16,200.0,
PU_LP,0.8551724137931035,0.9219330855018587,0.16,145.0,
RCSVM,,0.0,0.16,0.0,
RANDOM,0.81,0.8950276243093923,0.16,,
RGCN_GAE,0.99,0.9949748743718593,0.16,,2.0
RGCN_GAE,0.995,0.9974937343358395,0.16,,3.0
RGCN_GAE,0.99,0.9949748743718593,0.16,,4.0
RGCN_GAE,0.98,0.98989898989899,0.16,,5.0
RLP_PUL,0.925,0.961038961038961,0.16,,
GCN_GAE,0.955,0.9769820971867008,0.16,,
CCRNE,0.845,0.9159891598915989,0.17,200.0,
MCLS,0.945,0.9717223650385605,0.17,200.0,
LP_PUL,0.915,0.9556135770234987,0.17,200.0,
PU_LP,0.8506493506493507,0.9192982456140351,0.17,154.0,
